Athlete,Rating,Number Of Races
"Cheruiyot, Timothy",1854.262187483268,26
"Ingebrigtsen, Jakob",1660.9230082064887,15
"Makhloufi, Taofik",1648.6773939098123,11
"Lewandowski, Marcin",1631.733546291701,15
"Wightman, Jake",1608.3409171780438,13
"Centrowitz, Matthew",1605.1142481316017,14
"Kwemoi, Ronald",1598.3424269952623,12
"Manangoi, Elijah",1594.9045659376447,21
"Engels, Craig",1591.8027898611415,7
"Tefera, Samuel",1585.6867862451759,13
"Kerr, Josh",1577.9915779030678,5
"Souleiman, Ayanleh",1569.7865846718764,23
"Berglund, Kalle",1566.485000215161,10
"Gourley, Neil",1561.6534809841069,6
"Hiss Bachir, Youssouf",1558.8863705474919,4
"Ingebrigtsen, Filip",1553.3520640965125,24
"Musagala, Ronald",1551.3569240601482,12
"McSweyn, Stewart",1541.7028757900482,7
"Kiprop, Asbel",1526.1232535401834,16
"Akankam, Hicham",1518.9350924034911,2
"Kaazouzi, Brahim",1515.4836256500653,7
"Brannen, Nathan",1514.3596665970922,4
"Miellet, Alexis",1513.843610179492,5
"Kimeli, Isaac",1512.2506963834408,3
"O'Hare, Chris",1511.989698455268,16
"Andrews, Robby",1510.6906178933389,5
"Kiplagat, Silas",1509.8983048790521,13
"Kibet, Vincent",1506.998698411692,23
"Gomez, Jesus",1505.2200798154788,3
"Chelimo, Paul",1505.0093440837675,1
"Mikhou, Sadik",1504.595482249732,7
"Grice, Charles",1503.6730277552845,10
"Tuwei, Cornelius",1503.273833293256,1
"Farah, Mo",1500.8723443398785,1
"Bustos, David",1500.8348487341827,4
"Mekhissi, Mahiedine",1500.6048585390115,1
"Ahmed, Mohammed",1499.8048985691648,1
"Bruno, Federico",1498.9205405107132,1
"Casey, Patrick",1498.8921138856601,1
"Emanuel, Lee",1498.7895416934837,1
"Essalhi, Younés",1498.775469169891,1
"Biwott, Robert",1498.7114917995966,6
"Moukrime, Tarik",1498.367982703467,1
"Grice, Charlie",1498.2367792337732,3
"Magut, James",1498.0736711402988,2
"Philibert-Thiboutot, Charles",1498.0207689726658,4
"Moustaoui, Mohamed",1497.6459951123438,1
"Tesfaye, Homiyu",1497.4310670080124,7
"Hlaselo, Dumisane",1497.280553612628,2
"Nabil, Oussama",1497.2401276627163,1
"Aden, Said",1497.1945881564893,1
"Manzano, Leo",1497.1882288816205,1
"Hairane, Jamal",1497.1386593083255,1
"Torrence, David",1497.1017237039114,4
"Abdikadar Sheik Ali, Mohad",1497.0825004359333,1
"Marshall, Tom",1497.0473356656846,1
"Jager, Evan",1496.907824086223,2
"Amdouni, Morhad",1496.7981700464954,2
"Alonso, Carlos",1496.4565952023108,1
"Abdikadar, Mohad",1496.4122278603588,1
"Murphy, Clayton",1496.0817824354328,4
"Lancashire, Thomas",1495.9588387679557,2
"Denissel, Simon",1495.9418132193537,1
"Tolosa, Teresa",1495.7358719821939,6
"Ngetich, Hillary",1495.53936173354,2
"Anou, Abderrahmane",1495.3424544817035,1
"Rozmys, Michal",1495.2709587684246,2
"Doukkana, Rabii",1495.1571007638463,1
"Kidder, Brannon",1495.0535035843247,1
"Mischler, Baptiste",1495.0437990064731,1
"Iguider, Abdelaati",1494.7103510381,20
"Saddedine, Alexandre",1494.1250776262011,1
"Yorks, Izaic",1494.0711054192354,1
"Enzema, Benjamin",1494.063771478196,1
"Essalhi, Youness",1493.973557126627,1
"Dixon, Harvey",1493.9577460219018,1
"Rogestedt, Johan",1493.225749953373,2
"Gebremedhin, Mekonnen",1493.209503774417,2
"Dahmani, Samir",1492.9199709132295,1
"Cheboi, Collins",1492.660404676166,3
"Simotwo, Charles",1492.2526564121713,15
"Bellemore, Corey",1492.2104621394626,1
"Lobalu, Dominic",1492.1859920244246,1
"Tiouali, Mohammed",1492.1307229455676,1
"Hannes, Pieter-Jan",1492.085708595342,5
"Alcala, Marc",1491.759901549729,2
"Gregorek, John",1491.7226647850046,7
"Fitzgibbon, Robbie",1491.6362048261572,2
"Selmouni, Sofiane",1491.2617456603446,2
"Bartelsmeyer, Amos",1490.9414689297314,4
"Hunter, Andrew",1490.7655433466516,3
"Tison, Quentin",1490.6862113587576,1
"Kenyi, Santino",1490.4452716436213,1
"Avila, Eric",1490.1008949592153,1
"Alzaabi, Saud",1490.079716149798,1
"Luo, Yuxi",1490.01471301202,1
"Amotun, Paulo",1489.8959424068876,1
"Ingebrigtsen, Henrik",1489.8917501506558,8
"Soares, Agusto",1489.7714221275864,1
"Wolde, Dawit",1489.6548776523878,7
"Weinans, Valentijn",1489.5971940314564,1
"Douma, Richard",1489.0102342866546,2
"Saifeldin, Muhand",1488.592141814431,1
"Benitz, Timo",1488.5717584686734,4
"Blankenship, Ben",1488.181258852734,13
"Rageh, Mohammed",1487.971318201142,1
"Lopez, Kevin",1487.3705902488048,3
"Birgen, Bethwell",1487.2923117103094,21
"Bedrani, Djilali",1487.2906384828839,1
"West, James",1486.9713687552783,2
"Bayer, Andrew",1486.5853870768603,3
"Mousab, Adam",1486.4544891855246,3
"Copeland, Piers",1486.184015453512,2
"Ozbilen, Ilham",1485.9593528816226,1
"Crippa, Yemaneberhan",1485.6047690259913,2
"Engholm, Elmar",1485.0954531320015,1
"Youssouf, Idriss",1484.1606485861296,1
"Carvalho, Florian",1483.2920053232278,4
"Seurei, Benson",1482.061155877531,4
"Kiprono, Brimin",1481.8362289575452,2
"Willis, Nick",1481.2426285628223,15
"Rodriguez, Erick",1480.8779968499482,2
"Kibet, Michael",1480.6266185931577,2
"Seddon, Zak",1480.128103893034,2
"Carson, Hamish",1479.4745247162234,1
"El Kaam, Fouad",1479.1096590923005,10
"Rotich, Ferguson",1478.8661855204314,2
"Soget, Justus",1478.0581472134531,6
"Heyward, Jake",1476.8317815229661,4
"Williamsz, Jordan",1476.8037973444511,10
"Andre, Thiago",1476.5623560167965,5
"Wote, Aman",1475.017532453469,16
"Lemi, Teddese",1471.3166389767443,2
"Mouhyadin, Abdi",1470.6739274085214,2
"Rotich, Abraham",1470.5499292292764,1
"Garrido, Lucirio",1466.5687976262407,1
"Matthews, Luke",1466.312823958495,5
"Keddar, Salim",1465.9130369357829,2
"Manangoi, George",1462.9344483487296,6
"Ouladha, Hicham",1462.6922491116134,3
"Hassan, Abdirahman",1452.9547330704802,1
"Wol, Yach",1451.8237010212838,1
"Lokoro, Paulo",1450.6530240737507,1
"Dzholomanov, Musulman",1450.5452238045752,1
"Sasinek, Filip",1449.9398284205138,2
"Gregson, Ryan",1449.8384467315705,30
"Mohamed, Abdullahi",1447.4052747545318,1
"Johnson, Jinson",1439.8195320836296,1
"Holusa, Jakub",1426.0306810535608,17
"Ramsden, Matthew",1422.1008216644382,3
"Mechaal, Adel",1416.6085917579242,8
"Taki, Kumari",1391.8063892291675,3
"Debjani, Ismael",1359.1149690275568,8
